episode_id,layout_id,repeat_id,first_color,second_color,task,source_dataset,source_episode_index,accepted,notes
act_formal_balanced_000,L2,1,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,0,true,derived locally; source datasets preserved
act_formal_balanced_001,L4,1,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,2,true,derived locally; source datasets preserved
act_formal_balanced_002,L5,1,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,3,true,derived locally; source datasets preserved
act_formal_balanced_003,L4,2,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,4,true,derived locally; source datasets preserved
act_formal_balanced_004,L4,3,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,5,true,derived locally; source datasets preserved
act_formal_balanced_005,L1,1,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,7,true,derived locally; source datasets preserved
act_formal_balanced_006,L2,2,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,8,true,derived locally; source datasets preserved
act_formal_balanced_007,L2,3,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,10,true,derived locally; source datasets preserved
act_formal_balanced_008,L3,1,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,11,true,derived locally; source datasets preserved
act_formal_balanced_009,L3,2,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,12,true,derived locally; source datasets preserved
act_formal_balanced_010,L5,2,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,13,true,derived locally; source datasets preserved
act_formal_balanced_011,L4,4,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,14,true,derived locally; source datasets preserved
act_formal_balanced_012,L4,5,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,15,true,derived locally; source datasets preserved
act_formal_balanced_013,L2,4,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,16,true,derived locally; source datasets preserved
act_formal_balanced_014,L3,3,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,17,true,derived locally; source datasets preserved
act_formal_balanced_015,L5,3,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,18,true,derived locally; source datasets preserved
act_formal_balanced_016,L2,5,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,19,true,derived locally; source datasets preserved
act_formal_balanced_017,L3,4,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,20,true,derived locally; source datasets preserved
act_formal_balanced_018,L4,6,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,21,true,derived locally; source datasets preserved
act_formal_balanced_019,L2,6,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,22,true,derived locally; source datasets preserved
act_formal_balanced_020,L5,4,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,23,true,derived locally; source datasets preserved
act_formal_balanced_021,L2,7,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,24,true,derived locally; source datasets preserved
act_formal_balanced_022,L3,5,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,25,true,derived locally; source datasets preserved
act_formal_balanced_023,L1,2,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,26,true,derived locally; source datasets preserved
act_formal_balanced_024,L5,5,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,27,true,derived locally; source datasets preserved
act_formal_balanced_025,L2,8,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,28,true,derived locally; source datasets preserved
act_formal_balanced_026,L1,3,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,29,true,derived locally; source datasets preserved
act_formal_balanced_027,L4,7,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,30,true,derived locally; source datasets preserved
act_formal_balanced_028,L5,6,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,31,true,derived locally; source datasets preserved
act_formal_balanced_029,L5,7,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,32,true,derived locally; source datasets preserved
act_formal_balanced_030,L4,8,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,33,true,derived locally; source datasets preserved
act_formal_balanced_031,L5,8,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,34,true,derived locally; source datasets preserved
act_formal_balanced_032,L1,4,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,35,true,derived locally; source datasets preserved
act_formal_balanced_033,L2,9,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,36,true,derived locally; source datasets preserved
act_formal_balanced_034,L5,9,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,37,true,derived locally; source datasets preserved
act_formal_balanced_035,L3,6,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,38,true,derived locally; source datasets preserved
act_formal_balanced_036,L2,10,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,39,true,derived locally; source datasets preserved
act_formal_balanced_037,L4,9,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,40,true,derived locally; source datasets preserved
act_formal_balanced_038,L1,5,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,41,true,derived locally; source datasets preserved
act_formal_balanced_039,L4,10,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,42,true,derived locally; source datasets preserved
act_formal_balanced_040,L3,7,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,43,true,derived locally; source datasets preserved
act_formal_balanced_041,L1,6,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,44,true,derived locally; source datasets preserved
act_formal_balanced_042,L3,8,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,45,true,derived locally; source datasets preserved
act_formal_balanced_043,L1,7,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,46,true,derived locally; source datasets preserved
act_formal_balanced_044,L5,10,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,47,true,derived locally; source datasets preserved
act_formal_balanced_045,L3,9,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,48,true,derived locally; source datasets preserved
act_formal_balanced_046,L3,10,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,49,true,derived locally; source datasets preserved
act_formal_balanced_047,L1,8,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",l1_correction,0,true,derived locally; source datasets preserved
act_formal_balanced_048,L1,9,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",l1_correction,1,true,derived locally; source datasets preserved
act_formal_balanced_049,L1,10,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",l1_correction,2,true,derived locally; source datasets preserved
